,age,body_type,diet,drinks,drugs,height,income,job,orientation,sex,sign,smokes,status,diet_modifier,education_status,education_institution,ethnicities_indian,ethnicities_native_american,ethnicities_middle_eastern,ethnicities_asian,ethnicities_white,ethnicities_black,ethnicities_other,ethnicities_pacific_islander,ethnicities_hispanic_/_latin,offspring_status,offspring_future,pets_cats,pets_dogs,religion_type,religion_modifier,sign_modifier,speaks_english,speaks_spanish,speaks_french,speaks_c++,speaks_chinese,speaks_japanese,speaks_german,speaks_italian
1,36,average,other,often,sometimes,70.0,80000.0,hospitality / travel,straight,m,cancer,no,single,mostly,working on,space camp,0,0,0,0,1,0,0,0,0,doesn't have kids,might want,likes cats,likes dogs,agnosticism,not too serious about it,no specified sign modifier,1,1,1,0,0,0,0,0
72,34,athletic,anything,socially,sometimes,73.0,150000.0,artistic / musical / writer,straight,m,pisces,no,single,mostly,graduated from,space camp,0,1,0,0,1,0,0,0,0,doesn't have kids,might want,likes cats,likes dogs,agnosticism,very serious about it,and it's fun to think about,1,1,0,0,0,0,0,0
167,25,curvy,anything,socially,never,63.0,20000.0,sales / marketing / biz dev,gay,f,gemini,no,single,mostly,working on,college/university,0,0,0,0,1,0,0,0,1,doesn't have kids,might want,likes cats,likes dogs,catholicism,laughing about it,and it's fun to think about,1,0,0,0,0,0,0,0
189,36,fit,anything,not at all,never,79.0,50000.0,entertainment / media,straight,m,virgo,no,single,mostly,graduated from,college/university,0,0,0,0,1,0,0,0,0,doesn't have kids,might want,likes cats,likes dogs,agnosticism,somewhat serious about it,but it doesn't matter,1,0,0,0,0,0,0,0
242,29,average,anything,socially,never,69.0,60000.0,medicine / health,straight,m,aries,no,single,mostly,graduated from,two-year college,0,0,0,1,0,0,0,0,0,doesn't have kids,might want,likes cats,likes dogs,christianity,somewhat serious about it,and it matters a lot,1,0,0,0,0,0,0,0
249,34,average,anything,socially,never,62.0,60000.0,other,straight,f,gemini,when drinking,single,mostly,graduated from,college/university,0,0,0,1,0,0,0,0,0,doesn't have kids,wants,has cats,likes dogs,agnosticism,not too serious about it,and it's fun to think about,1,0,0,0,0,0,0,0
267,39,fit,vegetarian,rarely,never,69.0,80000.0,science / tech / engineering,straight,m,cancer,no,single,mostly,graduated from,masters program,0,0,0,0,1,0,0,0,0,doesn't have kids,might want,likes cats,likes dogs,other,somewhat serious about it,but it doesn't matter,1,0,0,1,0,0,0,0
283,47,average,anything,rarely,never,69.0,50000.0,construction / craftsmanship,straight,m,aries,no,single,mostly,graduated from,two-year college,0,0,0,0,1,0,0,0,0,doesn't have kids,might want,likes cats,has dogs,christianity,not too serious about it,but it doesn't matter,1,1,0,0,0,0,0,0
335,62,average,anything,socially,never,63.0,70000.0,retired,straight,f,capricorn,trying to quit,single,mostly,dropped out of,college/university,0,0,0,0,1,0,0,0,0,doesn't have kids,doesn't want,has cats,has dogs,atheism,not too serious about it,and it's fun to think about,1,0,0,0,0,0,0,0
490,23,overweight,anything,very often,often,72.0,20000.0,student,straight,m,leo,no,single,strictly,graduated from,college/university,0,0,0,0,1,0,0,0,0,has a kid,wants,likes cats,likes dogs,other,somewhat serious about it,but it doesn't matter,1,0,0,0,0,0,0,0
496,59,fit,anything,socially,never,64.0,60000.0,education / academia,straight,m,scorpio,no,single,mostly,graduated from,college/university,0,0,0,1,0,0,0,0,0,has a kid,might want,likes cats,likes dogs,other,not too serious about it,but it doesn't matter,1,0,0,0,1,0,0,0
504,19,athletic,anything,socially,never,73.0,20000.0,student,straight,m,aries,no,single,strictly,working on,college/university,0,0,0,0,1,0,0,0,0,doesn't have kids,might want,likes cats,likes dogs,other,not too serious about it,and it's fun to think about,1,0,0,0,0,0,0,0
634,30,thin,anything,socially,never,74.0,20000.0,construction / craftsmanship,straight,m,aries,when drinking,available,no specified diet modifier,graduated from,college/university,0,0,0,0,1,0,0,0,1,doesn't have kids,might want,has cats,likes dogs,agnosticism,somewhat serious about it,but it doesn't matter,1,1,0,0,0,0,0,0
711,37,a little extra,anything,not at all,never,67.0,20000.0,other,straight,m,sagittarius,trying to quit,single,mostly,graduated from,two-year college,0,0,0,1,0,0,0,1,0,doesn't have kids,wants,has cats,has dogs,catholicism,somewhat serious about it,but it doesn't matter,1,0,0,0,0,0,0,0
736,31,average,anything,socially,never,69.0,40000.0,transportation,straight,m,libra,trying to quit,single,mostly,graduated from,two-year college,0,0,0,0,0,1,0,0,0,has kids,might want,likes cats,likes dogs,other,laughing about it,and it's fun to think about,1,0,0,0,0,0,0,0
778,25,fit,vegetarian,socially,never,68.0,50000.0,medicine / health,straight,m,capricorn,sometimes,single,mostly,graduated from,two-year college,0,0,0,0,0,0,0,1,1,doesn't have kids,might want,likes cats,has dogs,catholicism,not too serious about it,but it doesn't matter,1,1,0,0,0,0,0,0
798,20,athletic,kosher,rarely,never,66.0,40000.0,artistic / musical / writer,straight,m,aries,sometimes,single,mostly,working on,college/university,0,0,0,0,0,1,0,0,0,doesn't have kids,might want,likes cats,likes dogs,christianity,very serious about it,but it doesn't matter,1,1,0,0,0,0,0,0
826,21,average,anything,socially,sometimes,67.0,20000.0,other,straight,m,sagittarius,trying to quit,single,mostly,working on,two-year college,0,0,0,1,0,0,0,0,0,doesn't have kids,might want,likes cats,likes dogs,other,somewhat serious about it,and it's fun to think about,1,0,0,0,1,1,0,0
869,24,average,vegetarian,very often,sometimes,68.0,30000.0,artistic / musical / writer,straight,m,virgo,when drinking,single,strictly,graduated from,college/university,0,0,0,0,1,0,0,0,0,doesn't have kids,doesn't want,likes cats,likes dogs,atheism,very serious about it,but it doesn't matter,1,1,1,0,0,0,0,0
884,36,fit,anything,not at all,never,73.0,150000.0,science / tech / engineering,straight,m,scorpio,no,single,strictly,graduated from,masters program,0,0,0,0,1,0,0,0,0,doesn't have kids,wants,likes cats,likes dogs,other,laughing about it,but it doesn't matter,1,0,0,0,0,0,0,0
935,41,average,anything,rarely,never,70.0,100000.0,science / tech / engineering,straight,m,gemini,no,single,mostly,graduated from,space camp,0,0,0,0,1,0,0,0,0,doesn't have kids,wants,likes cats,likes dogs,christianity,laughing about it,but it doesn't matter,1,0,0,1,0,0,0,0
937,22,average,vegetarian,rarely,sometimes,71.0,1000000.0,unemployed,straight,m,gemini,no,available,strictly,dropped out of,two-year college,0,0,0,0,1,0,0,0,0,doesn't have kids,doesn't want,likes cats,likes dogs,agnosticism,not too serious about it,but it doesn't matter,1,0,0,0,0,0,0,0
1028,31,fit,vegetarian,socially,never,66.0,70000.0,computer / hardware / software,straight,f,virgo,no,single,mostly,graduated from,masters program,0,0,0,0,1,0,0,0,0,doesn't have kids,wants,likes cats,likes dogs,christianity,not too serious about it,and it's fun to think about,1,0,0,0,0,0,0,0
1111,25,overweight,anything,not at all,never,68.0,20000.0,unemployed,straight,m,sagittarius,no,single,mostly,graduated from,college/university,0,0,0,1,0,0,0,0,0,doesn't have kids,might want,likes cats,has dogs,atheism,not too serious about it,and it's fun to think about,1,0,0,0,0,0,0,0
