,age,body_type,diet,drinks,drugs,height,job,orientation,sex,smokes,status,diet_modifier,education_status_extracted,education_institution_extracted,ethnicities_pacific_islander,ethnicities_other,ethnicities_black,ethnicities_indian,ethnicities_middle_eastern,ethnicities_native_american,ethnicities_hispanic_/_latin,ethnicities_asian,ethnicities_white,offspring_status,offspring_future,pets_cats,pets_dogs,religion_type,religion_modifier,sign_extracted,sign_modifier_extracted,speaks_english,speaks_spanish,speaks_french,speaks_russian,speaks_c++,speaks_chinese,speaks_tagalog,speaks_esperanto,speaks_portuguese,speaks_japanese,speaks_lisp,speaks_ukrainian,speaks_german,speaks_sanskrit,speaks_thai,speaks_hindi,speaks_ancient,speaks_italian,speaks_sign,speaks_swedish,speaks_sign_language,speaks_romanian,speaks_latin,speaks_other,speaks_dutch,speaks_danish,speaks_arabic,speaks_hebrew,speaks_korean,speaks_gujarati,speaks_hawaiian,speaks_farsi,speaks_afrikaans,speaks_yiddish,speaks_hungarian,speaks_vietnamese,speaks_indonesian,speaks_latvian,speaks_irish,speaks_swahili,speaks_rotuman,speaks_czech,speaks_icelandic,speaks_norwegian,speaks_tamil,speaks_greek,speaks_tibetan,speaks_catalan,speaks_croatian,speaks_turkish,speaks_armenian,speaks_mongolian,speaks_serbian,speaks_polish,speaks_slovak,speaks_bengali,speaks_urdu,speaks_persian,speaks_welsh,speaks_khmer,speaks_ilongo,speaks_cebuano,speaks_malay,speaks_albanian,speaks_bulgarian,speaks_basque,speaks_occitan,speaks_finnish
0,-1.089091545688697,0,0,4,0,1.6900800898125348,19,2,1,1,3,2,2,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,3,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.3861565233950889,2,3,2,2,0.4237548498387995,8,2,1,0,3,1,2,6,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,2,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,-0.14071778699197746,4,0,4,0,0.17048980184405246,7,2,1,0,3,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,2,8,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0.07003193716284907,1,0,4,0,0.17048980184405246,17,2,1,3,3,1,1,0,0,0,0,0,0,0,0,0,1,0,2,1,1,2,1,2,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,0.17540679924026234,1,0,4,2,1.1835499938230407,0,2,1,0,3,1,1,6,0,0,0,0,0,1,0,0,1,0,1,1,1,0,3,7,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,-0.7729669594564571,3,0,4,0,-1.3491004861244298,16,1,0,0,3,1,2,0,0,0,0,0,0,0,1,0,1,0,1,1,1,3,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,-0.5622172353016305,1,0,4,0,-0.08277524615069459,3,2,1,0,3,1,1,0,0,0,0,0,0,0,0,0,1,0,2,0,1,7,1,11,3,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,-0.4568423732242173,3,0,2,0,-0.08277524615069459,16,2,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,5,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,0.3861565233950889,4,0,1,0,2.703140281791523,6,2,1,0,3,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,2,11,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,0.07003193716284907,0,0,4,0,-1.3491004861244298,5,2,0,1,3,1,1,3,0,0,0,0,0,0,0,0,1,0,2,1,1,3,2,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
